# QUALITY=CLEAN | XAG ~ const+log_xau | Kalman TVP δ=0.999 | IC4w=0.0277 IC8w=0.0678 hit8w=0.5045 | var_ratio=0.243 HL=55.9w | cot_as_of=20260922 | generated by metals_fairvalue_g8.py v3
DATE,PX,FAIR,RESID,MDP_Z,MDP_ADJ,RISK_W,COT_MULT,SIGNAL,B_CONST,B_LOG_XAU
20060103,9.087,10.1907,-0.114629,,,0.0785,1.0,,-3.345615,0.899455
20060110,8.957,10.1808,-0.128067,,,0.0857,1.0,,-3.698088,0.95225
20060117,9.02,10.1391,-0.116955,,,0.0906,1.0,,-3.960813,0.99154
20060124,9.183,10.0695,-0.092155,,,0.0943,1.0,,-4.140781,1.018429
20060131,9.85,10.2086,-0.035755,,,0.0973,1.0,,-4.198531,1.027025
20060207,9.38,9.8137,-0.0452,,,0.0994,1.0,,-4.282898,1.039657
20060214,9.297,9.6743,-0.039778,,,0.1023,1.0,,-4.356714,1.050723
20060221,9.536,9.7834,-0.02561,,,0.1053,1.0,,-4.398868,1.057027
20060228,9.72,9.9041,-0.018763,,,0.1076,1.0,,-4.426441,1.061139
20060307,10.035,9.7226,0.031624,,,0.1095,1.0,,-4.376324,1.053638
20060314,10.182,9.7308,0.045323,,,0.1116,1.0,,-4.30589,1.043092
20060321,10.516,9.7814,0.072418,,,0.1137,1.0,,-4.198064,1.026953
20060328,10.826,10.0993,0.069487,,,0.1155,1.0,,-4.117046,1.014927
20060404,11.688,10.5004,0.107153,,,0.1167,1.0,,-4.034041,1.002871
20060411,12.573,10.7316,0.158355,,,0.1171,1.0,,-3.944822,0.990176
20060418,13.76,11.2654,0.200031,,,0.1173,1.0,,-3.925887,0.988535
20060425,12.555,11.5595,0.082615,,,0.1173,1.0,,-3.931799,0.989902
20060502,14.11,12.2058,0.144974,,,0.1172,1.0,,-4.008156,1.002545
20060509,14.374,12.9195,0.106682,,,0.1174,1.0,,-4.104627,1.018057
20060516,13.452,12.8367,0.046819,,,0.1183,1.0,,-4.141052,1.023938
20060523,13.1,12.5106,0.046039,,,0.1189,1.0,,-4.166524,1.028119
20060530,13.013,12.167,0.067224,,,0.1192,1.0,,-4.186712,1.031591
20060606,11.805,11.7242,0.00687,,,0.1192,1.0,,-4.186302,1.031563
20060613,9.595,10.4433,-0.084714,,,0.1192,1.0,,-4.28528,1.046479
20060620,10.25,10.6748,-0.040608,,,0.1204,1.0,,-4.321329,1.051865
20060627,10.185,10.7469,-0.053702,,,0.1211,1.0,,-4.364914,1.058352
20060704,10.833,11.3457,-0.046241,,,0.1216,1.0,,-4.376025,1.059832
20060711,11.47,11.8702,-0.034294,,,0.1216,1.0,,-4.367176,1.058272
20060718,10.455,11.6033,-0.10421,,,0.1216,1.0,,-4.365153,1.057385
20060725,10.895,11.3525,-0.041134,,,0.1215,1.0,,-4.372736,1.058348
20060801,11.695,11.895,-0.016954,,,0.1215,1.0,,-4.366368,1.057269
20060808,12.22,11.876,0.028555,,,0.1216,1.0,,-4.376995,1.059075
20060815,12.056,11.4366,0.052742,,,0.1216,1.0,,-4.370245,1.058319
20060822,12.245,11.4992,0.062843,,,0.1215,1.0,,-4.365235,1.057891
20060829,12.142,11.2539,0.075952,,,0.1215,1.0,,-4.333937,1.053449
20060905,13.005,11.8274,0.094913,,,0.1215,1.0,,-4.35901,1.057853
20060912,11.025,10.8553,0.015514,,,0.1215,1.0,,-4.343819,1.055573
20060919,10.83,10.6651,0.015339,,,0.1221,1.0,,-4.324579,1.052664
20060926,11.395,10.9538,0.039493,,,0.123,1.0,,-4.289748,1.047462
20061003,10.955,10.6822,0.025218,,,0.1234,1.0,,-4.256946,1.042498
20061010,11.135,10.6104,0.048256,,,0.1243,1.0,,-4.187722,1.031996
20061017,11.698,10.9794,0.063401,,,0.1255,1.0,,-4.131706,1.023631
20061024,11.78,10.9072,0.076977,,,0.1258,1.0,,-4.053193,1.011829
20061031,12.212,11.3169,0.076121,,,0.1263,1.0,,-4.023427,1.007594
20061107,12.628,11.7557,0.071578,,,0.1264,1.0,,-4.040845,1.010666
20061114,12.861,11.7474,0.09057,,,0.1263,1.0,,-4.057376,1.013683
20061121,13.072,11.8656,0.096832,,,0.1263,1.0,,-4.085691,1.018537
20061128,13.62,12.0744,0.120453,,,0.1263,1.0,,-4.146766,1.02856
20061205,13.845,12.2183,0.124991,,,0.1264,1.0,,-4.218289,1.04017
20061212,13.813,11.9579,0.144217,,,0.1265,1.0,,-4.243975,1.044666
20061219,12.57,11.8891,0.055689,,,0.1265,1.0,,-4.246651,1.04525
20061226,12.603,11.944,0.053702,,,0.1264,1.0,,-4.251614,1.046187
20070102,12.818,12.1876,0.050434,,,0.1264,1.0,,-4.26869,1.049002
20070109,12.498,11.7559,0.061211,,,0.1264,1.0,,-4.25962,1.047786
20070116,12.54,12.0023,0.043828,,,0.1263,1.0,,-4.264749,1.048725
20070123,13.185,12.4291,0.05904,,,0.1263,1.0,,-4.300369,1.05446
20070130,13.319,12.4272,0.069304,,,0.1264,1.0,,-4.340677,1.060959
20070206,13.63,12.6415,0.075289,,,0.1266,1.0,,-4.400689,1.070539
20070213,13.881,12.8818,0.074707,,,0.1269,1.0,,-4.476591,1.082582
20070220,13.812,12.769,0.078516,,,0.1276,1.0,,-4.542224,1.093035
20070227,14.545,13.3685,0.084348,,,0.1279,1.0,,-4.66048,1.111675
20070306,12.877,12.5429,0.026288,,,0.1292,1.0,,-4.672607,1.113639
20070313,12.863,12.6326,0.018071,,,0.1293,1.0,,-4.682876,1.115291
20070320,13.285,12.8624,0.032326,,,0.1294,1.0,,-4.710219,1.119645
20070327,13.21,12.9661,0.018636,,,0.1298,1.0,,-4.728334,1.122521
20070403,13.375,13.0152,0.027266,,,0.1303,1.0,,-4.756942,1.127058
20070410,13.888,13.3034,0.043008,,,0.1309,1.0,,-4.817603,1.136629
20070417,13.992,13.5884,0.029267,,,0.1319,1.0,,-4.867906,1.144541
20070424,13.769,13.517,0.018474,,,0.1335,1.0,,-4.897719,1.149235
20070501,13.245,13.3057,-0.004576,,,0.1348,1.0,,-4.891539,1.148259
20070508,13.489,13.546,-0.004218,,,0.1357,1.0,,-4.884359,1.147129
20070515,13.226,13.2693,-0.003268,,,0.1371,1.0,,-4.879962,1.146434
20070522,12.919,12.9539,-0.002698,,,0.1379,1.0,,-4.877545,1.146048
20070529,13.158,12.9077,0.019205,,,0.1382,1.0,,-4.893801,1.148652
20070605,13.757,13.1986,0.041439,,,0.1384,1.0,,-4.94963,1.157489
20070612,13.055,12.7397,0.024451,,,0.1391,1.0,,-4.9616,1.159454
20070619,13.303,13.0278,0.020907,,,0.1391,1.0,,-4.982799,1.162834
20070626,12.27,12.6117,-0.027467,,,0.1395,1.0,,-4.977295,1.161852
20070703,12.569,12.8476,-0.021925,,,0.1394,1.0,,-4.961698,1.159332
20070710,12.867,13.0572,-0.014677,,,0.1395,1.0,,-4.944312,1.156568
20070717,12.923,13.1,-0.013604,,,0.1399,1.0,,-4.92643,1.153732
20070724,13.359,13.5369,-0.013232,,,0.1404,1.0,,-4.895848,1.148932
20070731,12.95,13.1345,-0.01415,,,0.1421,1.0,,-4.875801,1.145757
20070807,13.041,13.2101,-0.012885,,,0.1426,1.0,,-4.854666,1.142419
20070814,12.707,13.1574,-0.03483,,,0.1433,1.0,,-4.800992,1.133929
20070821,11.489,12.8721,-0.113673,,,0.1439,1.0,,-4.711372,1.11946
20070828,11.754,12.986,-0.099678,,,0.144,1.0,,-4.621503,1.105186
20070904,12.281,13.3388,-0.082626,,,0.1443,1.0,,-4.505468,1.08699
20070911,12.667,13.9331,-0.095269,,,0.1451,1.0,,-4.297755,1.054619
20070918,12.767,13.9388,-0.087813,,,0.1475,1.0,,-4.125231,1.027744
